OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape
390724,413908,SFO-AZ01180606-60756,NONFED,ST-NASF,ST/C&L,USAZAZS,"Arizona State Forestry Division - State Office",AZAZS,"Arizona State Forestry Division - State Office",,60756,,,,,,,,2006,2453890.5,155,,1.0,Lightning,,,,0.3,B,32.84557324,-111.56139066,14.0,"MISSING/NOT SPECIFIED",AZ,,,,""
597854,645552,SFO-TN0402-4921,NONFED,ST-NASF,ST/C&L,USTNTNS,"Tennessee Division of Forestry",TNTNS,"Tennessee Division of Forestry",,,,,,,,,,2008,2454738.5,273,,5.0,"Debris Burning",,,,4.1,B,35.49198,-84.62317,14.0,"MISSING/NOT SPECIFIED",TN,Marion,115,Marion,""
464028,498623,SFO-ID0043_4102003019,NONFED,ST-NASF,ST/C&L,USIDIDS,"Idaho Department of Lands",ID410,"IDS District 410",,,,,,,,,,2003,2452955.5,316,,13.0,Missing/Undefined,,,,118.0,D,46.533717,-116.727609,14.0,"MISSING/NOT SPECIFIED",ID,"Nez Perce",069,"Nez Perce",""
1112264,1354816,"CDF_2010_53_2211_008291      ",NONFED,ST-CACDF,ST/C&L,USCALNU,"Sonoma-Lake Napa Unit",CALNU,"Sonoma-Lake Napa Unit",,"008291      ",,"S HWY 29  / OAK KNOLL AV ",,,,,,2010,2455490.5,294,,9.0,Miscellaneous,,,,1.0,B,38.35305555,-122.33194444,14.0,"MISSING/NOT SPECIFIED",CA,,,,""
528545,568875,SFO-NC0395-06682,NONFED,ST-NASF,ST/C&L,USNCNCS,"North Carolina Forest Service",NCNCS,"North Carolina Division of Forest Resources",,,,,,,,,,2007,2454328.5,228,,13.0,Missing/Undefined,,,,2.0,B,35.01611,-80.49889,14.0,"MISSING/NOT SPECIFIED",NC,Union,179,Union,""
1172698,1423804,MSARCH_44111,NONFED,ST-MSMSS,ST/C&L,USMSMSS,"Mississippi Forestry Commission",MSMSS,"Mississippi Forestry Commission",,2,,,,,,,,1998,2451074.5,261,1500,5.0,"Debris Burning",2451074.5,261,1638,2.0,B,33.50886585,-89.51703237,14.0,"MISSING/NOT SPECIFIED",MS,Montgomery,097,Montgomery,""
717082,813085,MT1994NWS432,NONFED,ST-MTMTS,ST/C&L,USMTNWS,"Northwestern Land Office",MTNWS,"Northwestern Land Office",,NWS432,,"TWIN LAKES",,,,,,1994,2449553.5,201,1423,13.0,Missing/Undefined,2449572.5,220,1139,1.5,B,47.94349,-115.06227,14.0,"MISSING/NOT SPECIFIED",MT,,,,""
1329079,1808087,SFO-NY-NY1717-2003-030053,NONFED,ST-NASF,ST/C&L,USNYNYX,"Fire Department of New York",NY1717,"Fire Department of New York",,NY1717-2003-030053,,,,,,,,2003,2452755.5,116,2347,7.0,Arson,2452756.5,117,2347,0.73,B,44.90707805,-74.34123453,14.0,"MISSING/NOT SPECIFIED",NY,FRANKLIN,033,Franklin,""
675287,738214,SFO-WI048102001,NONFED,ST-NASF,ST/C&L,USWIWIS,"Wisconsin Department of Natural Resources","WI Brule","Brule District",,,,,,,,,,2004,2453347.5,343,,4.0,Campfire,,,,0.01,A,46.74345927,-91.60500213,14.0,"MISSING/NOT SPECIFIED",WI,Douglas,031,Douglas,""
955921,1084068,TFS_FL_29335,NONFED,ST-FLFLS,ST/C&L,USFLFLS,"Florida Forest Service",FLFLS17,"FLS Caloosahatchee Forestry Center",,0306,,,,,,,,1997,2450672.5,224,,1.0,Lightning,,,,1.0,B,26.205,-81.5331,14.0,"MISSING/NOT SPECIFIED",FL,Collier,021,Collier,""
328019,335383,W-522169,FED,DOI-WFMI,BLM,USIDIFD,"Idaho Falls District",IDBUD,"Burley Field Office",,,CR64,"I86 MM 14",,,,,,2006,2453912.5,177,1822,2.0,"Equipment Use",2453912.5,177,2100,2.0,B,42.6017,-113.2417,7.0,STATE,ID,Cassia,031,Cassia,""
